Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,11135F101,AVGO ,"4,480,721","1,414,160,354.81",1.228,Broadcom Inc,Common Stock,Information Technology,06/30/2020
QQQ,882508104,TXN ,"10,285,944","1,306,006,309.68",1.134,Texas Instruments Inc,Common Stock,Information Technology,06/30/2020
QQQ,16119P108,CHTR ,"2,313,932","1,180,197,877.28",1.025,Charter Communications Inc,Common Stock,Communication Services,06/30/2020
QQQ,747525103,QCOM ,"12,607,679","1,149,946,401.59",0.998,QUALCOMM Inc,Common Stock,Information Technology,06/30/2020
QQQ,375558103,GILD ,"14,058,431","1,081,655,681.14",0.939,Gilead Sciences Inc,Common Stock,Health Care,06/30/2020
QQQ,855244109,SBUX ,"13,093,819","963,574,140.21",0.837,Starbucks Corp,Common Stock,Consumer Discretionary,06/30/2020
QQQ,461202103,INTU ,"2,922,630","865,653,779.70",0.752,Intuit Inc,Common Stock,Information Technology,06/30/2020
QQQ,92532F100,VRTX ,"2,905,847","843,596,442.57",0.732,Vertex Pharmaceuticals Inc,Common Stock,Health Care,06/30/2020
QQQ,609207105,MDLZ ,"15,998,447","818,000,595.11",0.710,Mondelez International Inc,Common Stock,Consumer Staples,06/30/2020
QQQ,46120E602,ISRG ,"1,307,020","744,779,206.60",0.647,Intuitive Surgical Inc,Common Stock,Health Care,06/30/2020
QQQ,337738108,FISV ,"7,503,293","732,471,462.66",0.636,Fiserv Inc,Common Stock,Information Technology,06/30/2020
QQQ,09857L108,BKNG ,"458,792","730,552,853.28",0.634,Booking Holdings Inc,Common Stock,Consumer Discretionary,06/30/2020
QQQ,053015103,ADP ,"4,816,779","717,170,225.31",0.623,Automatic Data Processing Inc,Common Stock,Information Technology,06/30/2020
QQQ,75886F107,REGN ,"1,130,491","705,030,712.15",0.612,Regeneron Pharmaceuticals Inc,Common Stock,Health Care,06/30/2020
QQQ,007903107,AMD ,"13,126,185","690,568,592.85",0.600,Advanced Micro Devices Inc,Common Stock,Information Technology,06/30/2020
QQQ,00507V109,ATVI ,"8,635,324","655,421,091.60",0.569,Activision Blizzard Inc,Common Stock,Communication Services,06/30/2020
